(INR Crores/10 Millions),,,EICHER MOTORS LTD,,,,,,,,Mar-26,<< Latest available quarterly results,,,,,,,,,,,,,
Narration,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Last 4 Quarters,Total 10 Yrs,Growth Trends:,10Yr,7Yr,5Yr,3Yr,TTM,,,,,,,
Cash from Financing Activity (CFF),25 ,(262),(292),(858),(15),(593),(417),(844),"(1,399)","(1,983)",,"(6,639)",FALSE,,,,,,,,,,,,
Cash from Financing Activity,25.29,-262.01,-292.3,-858.25,-14.76,-593.36,-417.44,-844.36,-1398.67,-1982.87,,"(6,639)",,,,,,,,,,,,,
Net Cash Flow (CFO+CFI+CFF),(10),75 ,623 ,(673),51 ,(50),8 ,45 ,121 ,(142),,49 ,,,,,,,,,,,,,
Cash & Eq. at the end of year,25 ,"1,212 ","2,965 ","2,951 ","5,830 ","2,722 ",766 ,146 ,263 ,256 ,,,a-b-c,,,,,,,,,,,,
Owner Earnings, -36 ," 1,699 "," 1,502 ", -268 , -240 ," 1,656 "," 3,348 "," 2,366 "," 3,165 "," 5,040 ",," 18,232 ",CFO - Maintaince Capex,,,,,,,,,,,,
Total Retained Earnings (RE) in 10 Yrs (A),"18,975 ",,,,,,,,,,,72.64%,Owner Earnings to Equity,,,,,,,,,,,,
Total increase in Mcap in 10 yrs (B),"139,157 ",,,,,,,,,,,,,,,,,,,,,,,,
Value created per INR of RE (B/A),7.33 ,,,,,,,,,Source: Screener,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Management,,,,,,,,,,,,,,,,,,,,,,,,,
CFO/EBIDTA,65.93%,74.22%,43.70%,61.49%,74.64%,57.12%,64.83%,63.65%,59.25%,59.96%,,,,,,,,,,,,,,,
OI YoY%,,29%,31%,-18%,-16%,3%,83%,67%,31%,12%,0%,,Large Fluctuations are earnings smoothing effect,,,,,,,,,,,,
PBT/NFA,278.81%,207.48%,175.89%,99.05%,73.91%,90.85%,141.25%,178.49%,170.81%,161.97%,,,,,,,,,,,,,,,
